,Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
1559,<td>Rezo.ai</td>,<td>2017</td>,<td>Noida</td>,<td>AI startup</td>,<td>Conversational AI platform - Innovate the way you communicate</td>,"<td>Manish Gupta, Rashi Gupta</td>","<td>Devesh Sachdev, Bhavesh Manglani</td>",<td>Undisclosed</td>,<td>Seed</td>
1560,<td>Mentoria</td>,<td>2015</td>,<td>Mumbai</td>,<td>EdTech</td>,<td>Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.</td>,"<td>Ashish Arora, Nikhar Arora, Sameer Bhakhri</td>","<td>Pradeep K Jaisingh, Jayant Mehrotra</td>","<td>$200,000</td>",<td>Pre-series A</td>
1561,<td>Cuvette Tech</td>,<td>2020</td>,<td>Bangalore</td>,<td>Human Resources</td>,<td>Help startups to find interns who are verified on their software development skills and problem-solving abilities.</td>,"<td>Atul Singhal, Sudhanshu Singh</td>","<td>Varun Alagh, Harish Daiya</td>","<td>$1,800,000</td>",<td>Seed</td>
1562,<td>Clensta</td>,<td>2016</td>,<td>New Delhi</td>,<td>BioTechnology</td>,<td>A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.</td>,<td>Puneet Gupta</td>,"<td>IAN Fund, World Startup Factory</td>","<td>$600,000</td>",<td></td>
1563,<td>FarMart</td>,<td>2015</td>,<td>Gurugram</td>,<td>AgriTech</td>,<td>FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices</td>,"<td>Alekh Sanghera, Mehtab Singh Hans</td>","<td>Omidyar Network India, Avaana Capital</td>","<td>$24,000,000</td>",<td>Pre-series A</td>
1564,<td>Kodo Card</td>,<td>2019</td>,<td>Mumbai</td>,<td>FinTech</td>,<td>Kodo card is a corporate card for new economy businesses in India.</td>,"<td>Deepti Sanghi, Gaurav Thapa</td>","<td>Brex, Y-Combinator</td>","<td>$8,000,000</td>",<td>Seed</td>
1565,<td>Polygon</td>,<td>2017</td>,<td>Mumbai</td>,<td>Crypto</td>,<td>Polygon is a blockchain scalability platform.</td>,"<td>Jaynti Kanani, Sandeep Nailwal, Anurag Arjun</td>","<td>Mark Cuban, MiH Ventures</td>",<td>Undisclosed</td>,<td></td>
1566,<td>Get My Parking</td>,<td>2015</td>,<td>New Delhi</td>,<td>Mobility</td>,"<td>Get My Parking, is a B2B Platform-as-a-Service company.</td>","<td>Chirag Jain, Rasik Pansare</td>","<td>IvyCap Ventures, IAN Fund</td>","<td>$6,000,000</td>",<td></td>
1567,<td>Cellestial</td>,<td>2019</td>,<td>Hyderabad</td>,<td>Electronics</td>,<td>Cellestial E-mobility is a city-based startup working in developing electric tractors with the longest battery life.</td>,<td>Siddhartha Durairajan</td>,"<td>Gurj Aujla, Ashik K</td>","<td>$500,000</td>",<td>Pre-series A</td>
1568,<td>FanCode</td>,<td>2019</td>,<td>Mumbai</td>,<td>Sports startup</td>,"<td>FanCode is a multi sport aggregator platform for every sports fan, focusing on long trail sports content and contextual commerce.</td>",<td>Yannick Colaco</td>,<td>Dream Sports</td>,"<td>$50,000,000</td>",<td></td>
1569,<td>Jai Kisan</td>,<td>2017</td>,<td>Mumbai</td>,<td>FinTech</td>,<td>Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets</td>,"<td>Adriel Maniego, Arjun Ahluwalia</td>","<td>The Chatterjee Group, Prophetic Ventures</td>","<td>$30,000,000</td>",<td>Series A</td>
